Year,Round,Race,Circuit,Date,Driver,Constructor,Grid,Position,Status,Q1,Q2,Q3,Weather,Temp,Precip,Winner,ConstructorWinRate_AllTime,ConstructorWinRate_Recent,Q1_secs,Q2_secs,Q3_secs,BestQualiTime,DriverRecentTop3Rate
2007,1,Australian Grand Prix,Albert Park Grand Prix Circuit,18-03-2007,Adrian Sutil,Spyker,20,17,+2 Laps,01:29.3,99:99.999,99:99.999,Partially cloudy,15.3,0,0,0,,89.339,6039.999,6039.999,89.339,0
2007,2,Malaysian Grand Prix,Sepang International Circuit,08-04-2007,Adrian Sutil,Spyker,21,22,Collision,01:38.4,99:99.999,99:99.999,Partially cloudy,28.5,0,0,0,,98.415,6039.999,6039.999,98.415,0
2007,3,Bahrain Grand Prix,Bahrain International Circuit,15-04-2007,Adrian Sutil,Spyker,20,15,+4 Laps,01:35.3,99:99.999,99:99.999,Clear,24.9,,0,0,,95.28,6039.999,6039.999,95.28,0
2007,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,13-05-2007,Adrian Sutil,Spyker,20,13,+2 Laps,01:23.8,99:99.999,99:99.999,Clear,19.8,0,0,0,,83.811,6039.999,6039.999,83.811,0
2007,5,Monaco Grand Prix,Circuit de Monaco,27-05-2007,Adrian Sutil,Spyker,19,20,Accident,01:18.4,99:99.999,99:99.999,"Rain, Partially cloudy",19.6,0.145,0,0,,78.418,6039.999,6039.999,78.418,0
2007,6,Canadian Grand Prix,Circuit Gilles Villeneuve,10-06-2007,Adrian Sutil,Spyker,20,18,Accident,01:18.5,99:99.999,99:99.999,Partially cloudy,21.4,0,0,0,,78.536,6039.999,6039.999,78.536,0
2007,7,United States Grand Prix,Indianapolis Motor Speedway,17-06-2007,Adrian Sutil,Spyker,21,14,+2 Laps,01:14.1,99:99.999,99:99.999,Partially cloudy,28.5,0,0,0,,74.122,6039.999,6039.999,74.122,0
2007,8,French Grand Prix,Circuit de Nevers Magny-Cours,01-07-2007,Adrian Sutil,Spyker,21,17,+2 Laps,01:17.9,99:99.999,99:99.999,"Rain, Partially cloudy",18.2,0.178,0,0,,77.915,6039.999,6039.999,77.915,0
2007,9,British Grand Prix,Silverstone Circuit,08-07-2007,Adrian Sutil,Spyker,20,21,Engine,01:22.0,99:99.999,99:99.999,"Rain, Partially cloudy",14.3,0.07,0,0,,82.019,6039.999,6039.999,82.019,0
2007,10,European Grand Prix,Nürburgring,22-07-2007,Adrian Sutil,Spyker,21,19,Spun off,01:34.5,99:99.999,99:99.999,"Rain, Partially cloudy",15.5,1.264,0,0,,94.5,6039.999,6039.999,94.5,0
2007,11,Hungarian Grand Prix,Hungaroring,05-08-2007,Adrian Sutil,Spyker,21,17,+2 Laps,01:22.7,99:99.999,99:99.999,Partially cloudy,21.4,0,0,0,,82.737,6039.999,6039.999,82.737,0
2007,12,Turkish Grand Prix,Istanbul Park,26-08-2007,Adrian Sutil,Spyker,19,21,Fuel pressure,01:29.9,99:99.999,99:99.999,Partially cloudy,27,0,0,0,,89.861,6039.999,6039.999,89.861,0
2007,13,Italian Grand Prix,Autodromo Nazionale di Monza,09-09-2007,Adrian Sutil,Spyker,21,19,+1 Lap,01:24.7,99:99.999,99:99.999,Partially cloudy,19.5,0,0,0,,84.699,6039.999,6039.999,84.699,0
2007,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,16-09-2007,Adrian Sutil,Spyker,19,14,+1 Lap,01:48.0,99:99.999,99:99.999,Partially cloudy,14,0,0,0,,108.044,6039.999,6039.999,108.044,0
2007,15,Japanese Grand Prix,Fuji Speedway,30-09-2007,Adrian Sutil,Spyker,20,8,Finished,01:28.6,99:99.999,99:99.999,"Rain, Partially cloudy",14.4,28.156,0,0,,88.628,6039.999,6039.999,88.628,0
2007,16,Chinese Grand Prix,Shanghai International Circuit,07-10-2007,Adrian Sutil,Spyker,21,21,Accident,01:38.7,99:99.999,99:99.999,Overcast,27.3,0,0,0,,98.668,6039.999,6039.999,98.668,0
2007,17,Brazilian Grand Prix,Autódromo José Carlos Pace,21-10-2007,Adrian Sutil,Spyker,21,15,Brakes,01:15.2,99:99.999,99:99.999,"Rain, Partially cloudy",25.2,1,0,0,,75.217,6039.999,6039.999,75.217,0
2008,1,Australian Grand Prix,Albert Park Grand Prix Circuit,16-03-2008,Adrian Sutil,Force India,22,16,Hydraulics,01:27.9,99:99.999,99:99.999,Clear,27.2,0,0,0,,87.859,6039.999,6039.999,87.859,0
2008,2,Malaysian Grand Prix,Sepang International Circuit,23-03-2008,Adrian Sutil,Force India,20,20,Hydraulics,01:37.1,99:99.999,99:99.999,"Rain, Partially cloudy",26.6,0.042,0,0,,97.101,6039.999,6039.999,97.101,0
2008,3,Bahrain Grand Prix,Bahrain International Circuit,06-04-2008,Adrian Sutil,Force India,20,19,+2 Laps,01:33.8,99:99.999,99:99.999,Clear,25.5,,0,0,,93.845,6039.999,6039.999,93.845,0
2008,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,27-04-2008,Adrian Sutil,Force India,20,21,Collision,01:23.2,99:99.999,99:99.999,Partially cloudy,15.3,0,0,0,,83.224,6039.999,6039.999,83.224,0
2008,5,Turkish Grand Prix,Istanbul Park,11-05-2008,Adrian Sutil,Force India,19,16,+1 Lap,01:28.3,99:99.999,99:99.999,Partially cloudy,12.3,0,0,0,,88.325,6039.999,6039.999,88.325,0
2008,6,Monaco Grand Prix,Circuit de Monaco,25-05-2008,Adrian Sutil,Force India,18,15,Collision,01:17.2,99:99.999,99:99.999,"Rain, Overcast",18.4,4.672,0,0,,77.225,6039.999,6039.999,77.225,0
2008,7,Canadian Grand Prix,Circuit Gilles Villeneuve,08-06-2008,Adrian Sutil,Force India,16,20,Gearbox,01:19.1,99:99.999,99:99.999,"Rain, Partially cloudy",24.9,7.364,0,0,,79.108,6039.999,6039.999,79.108,0
2008,8,French Grand Prix,Circuit de Nevers Magny-Cours,22-06-2008,Adrian Sutil,Force India,18,19,+1 Lap,01:17.1,99:99.999,99:99.999,"Rain, Partially cloudy",21.8,1.254,0,0,,77.053,6039.999,6039.999,77.053,0
2008,9,British Grand Prix,Silverstone Circuit,06-07-2008,Adrian Sutil,Force India,18,18,Spun off,01:21.8,99:99.999,99:99.999,"Rain, Partially cloudy",14.1,7.709,0,0,,81.786,6039.999,6039.999,81.786,0
2008,10,German Grand Prix,Hockenheimring,20-07-2008,Adrian Sutil,Force India,19,15,Finished,01:16.7,99:99.999,99:99.999,Partially cloudy,15.7,0,0,0,,76.657,6039.999,6039.999,76.657,0
2008,11,Hungarian Grand Prix,Hungaroring,03-08-2008,Adrian Sutil,Force India,20,19,Brakes,01:22.1,99:99.999,99:99.999,"Rain, Partially cloudy",24.5,0.253,0,0,,82.113,6039.999,6039.999,82.113,0
2008,12,European Grand Prix,Valencia Street Circuit,24-08-2008,Adrian Sutil,Force India,20,19,Accident,01:39.9,99:99.999,99:99.999,Partially cloudy,26,0,0,0,,99.943,6039.999,6039.999,99.943,0
2008,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,07-09-2008,Adrian Sutil,Force India,18,13,+1 Lap,01:48.2,99:99.999,99:99.999,"Rain, Partially cloudy",12.1,4.197,0,0,,108.226,6039.999,6039.999,108.226,0
2008,14,Italian Grand Prix,Autodromo Nazionale di Monza,14-09-2008,Adrian Sutil,Force India,20,19,+2 Laps,01:37.4,99:99.999,99:99.999,"Rain, Partially cloudy",14.8,1.568,0,0,,97.417,6039.999,6039.999,97.417,0
2008,15,Singapore Grand Prix,Marina Bay Street Circuit,28-09-2008,Adrian Sutil,Force India,19,17,Accident,01:47.9,99:99.999,99:99.999,Partially cloudy,28.3,0,0,0,,107.94,6039.999,6039.999,107.94,0
2008,16,Japanese Grand Prix,Fuji Speedway,12-10-2008,Adrian Sutil,Force India,19,18,Tyre,01:19.2,99:99.999,99:99.999,Partially cloudy,14.7,0,0,0,,79.163,6039.999,6039.999,79.163,0
2008,17,Chinese Grand Prix,Shanghai International Circuit,19-10-2008,Adrian Sutil,Force India,19,19,Engine,01:37.7,99:99.999,99:99.999,Partially cloudy,24.3,0,0,0,,97.73,6039.999,6039.999,97.73,0
2008,18,Brazilian Grand Prix,Autódromo José Carlos Pace,02-11-2008,Adrian Sutil,Force India,20,16,+2 Laps,01:13.5,99:99.999,99:99.999,"Rain, Partially cloudy",21.2,10.1,0,0,,73.508,6039.999,6039.999,73.508,0
2009,1,Australian Grand Prix,Albert Park Grand Prix Circuit,29-03-2009,Adrian Sutil,Force India,16,9,Finished,01:26.7,99:99.999,99:99.999,Clear,16.7,0,0,0,,86.742,6039.999,6039.999,86.742,0
2009,2,Malaysian Grand Prix,Sepang International Circuit,05-04-2009,Adrian Sutil,Force India,19,17,+1 Lap,01:36.0,99:99.999,99:99.999,"Rain, Partially cloudy",26.2,0.198,0,0,,95.951,6039.999,6039.999,95.951,0
2009,3,Chinese Grand Prix,Shanghai International Circuit,19-04-2009,Adrian Sutil,Force India,18,17,Spun off,01:37.7,99:99.999,99:99.999,"Rain, Partially cloudy",18.7,9.4,0,0,,97.669,6039.999,6039.999,97.669,0
2009,4,Bahrain Grand Prix,Bahrain International Circuit,26-04-2009,Adrian Sutil,Force India,19,16,+1 Lap,01:33.7,99:99.999,99:99.999,Clear,32,,0,0,,93.722,6039.999,6039.999,93.722,0
2009,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,10-05-2009,Adrian Sutil,Force India,19,20,Collision,01:21.7,99:99.999,99:99.999,"Rain, Partially cloudy",17.7,0.218,0,0,,81.742,6039.999,6039.999,81.742,0
2009,6,Monaco Grand Prix,Circuit de Monaco,24-05-2009,Adrian Sutil,Force India,15,14,+1 Lap,01:16.2,01:16.5,99:99.999,Partially cloudy,21.3,0,0,0,,76.248,76.545,6039.999,76.248,0
2009,7,Turkish Grand Prix,Istanbul Park,07-06-2009,Adrian Sutil,Force India,15,17,+1 Lap,01:28.3,01:28.4,99:99.999,Partially cloudy,24.9,0,0,0,,88.278,88.391,6039.999,88.278,0
2009,8,British Grand Prix,Silverstone Circuit,21-06-2009,Adrian Sutil,Force India,20,17,+1 Lap,01:19.9,99:99.999,99:99.999,"Rain, Partially cloudy",14.1,0.148,0,0,,79.909,6039.999,6039.999,79.909,0
2009,9,German Grand Prix,Nürburgring,12-07-2009,Adrian Sutil,Force India,7,15,Finished,01:32.0,01:36.7,01:34.3,"Rain, Partially cloudy",15.1,1.719,0,0,,92.015,96.74,94.316,92.015,0
2009,10,Hungarian Grand Prix,Hungaroring,26-07-2009,Adrian Sutil,Force India,17,19,Overheating,01:21.9,99:99.999,99:99.999,Clear,19.7,0,0,0,,81.868,6039.999,6039.999,81.868,0
2009,11,European Grand Prix,Valencia Street Circuit,23-08-2009,Adrian Sutil,Force India,12,10,Finished,01:39.1,01:38.8,99:99.999,Clear,27,0,0,0,,99.145,98.846,6039.999,98.846,0
2009,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,30-08-2009,Adrian Sutil,Force India,11,11,Finished,01:45.2,01:45.1,99:99.999,Partially cloudy,11.8,0,0,0,,105.239,105.119,6039.999,105.119,0
2009,13,Italian Grand Prix,Autodromo Nazionale di Monza,13-09-2009,Adrian Sutil,Force India,2,4,Finished,01:23.6,01:23.1,01:24.3,"Rain, Partially cloudy",20.6,0.369,0,0,,83.576,83.07,84.261,83.07,0
2009,14,Singapore Grand Prix,Marina Bay Street Circuit,27-09-2009,Adrian Sutil,Force India,15,18,Collision,01:48.2,99:99.999,99:99.999,Partially cloudy,29.8,0,0,0,,108.231,6039.999,6039.999,108.231,0
2009,15,Japanese Grand Prix,Suzuka Circuit,04-10-2009,Adrian Sutil,Force India,8,13,Finished,01:31.4,01:31.2,01:32.5,Partially cloudy,20.5,0,0,0,,91.386,91.222,92.466,91.222,0
2009,16,Brazilian Grand Prix,Autódromo José Carlos Pace,18-10-2009,Adrian Sutil,Force India,3,18,Accident,01:24.4,01:20.8,01:19.9,"Rain, Overcast",20.5,11,0,0,,84.447,80.753,79.912,79.912,0
2009,17,Abu Dhabi Grand Prix,Yas Marina Circuit,01-11-2009,Adrian Sutil,Force India,17,17,+1 Lap,01:41.8,99:99.999,99:99.999,Clear,27.9,,0,0,,101.836,6039.999,6039.999,101.836,0
2010,1,Bahrain Grand Prix,Bahrain International Circuit,14-03-2010,Adrian Sutil,Force India,10,12,Finished,01:55.2,01:55.0,01:56.3,Clear,26.6,0,0,0,,115.213,114.996,116.309,114.996,0
2010,2,Australian Grand Prix,Albert Park Grand Prix Circuit,28-03-2010,Adrian Sutil,Force India,10,18,Engine,01:25.5,01:25.0,01:26.0,"Rain, Partially cloudy",21.2,0.589,0,0,,85.504,85.046,86.036,85.046,0
